repo_id,url,stratum,family_id,family_relation,discovery_scope,task,parameters,languages,license_status,subject_areas,top_evidence_type,evidence_quote,description,review_factual,review_evidence_sufficient,review_omissions,review_family_correct,review_useful
ArchiveStudio/Phi-3.5-MoE-instruct,https://huggingface.co/ArchiveStudio/Phi-3.5-MoE-instruct,text_generation_chat,microsoft--phi-3-5-moe-instruct,exact_duplicate_of,variant,text-generation,41873153344,multilingual;ar;zh;cs;da;nl;en;fi;fr;de;he;hu;it;ja;ko;no;pl;pt;ru;es;sv;th;tr;uk,recognized_identifier,multilingual-nlp;mathematics;software-engineering;education;safety-and-moderation;information-retrieval,trained_on,"Our training data includes a wide variety of sources, totaling 4.9 trillion tokens (including 10% multilingual), and is a combination of 1) publicly available documents filtered rigorously for quality, selected high-quality educational data, and code;","Phi-3.5-MoE-instruct is a lightweight, multilingual, 6.6B active parameter mixture-of-experts language model designed for instruction following, strong reasoning, code generation, and long-context tasks, with 128K token context and extensive multilingual support.",,,,,
At-Tawheed/Anis,https://huggingface.co/At-Tawheed/Anis,text_generation_chat,unsloth--qwen2-5-7b-unsloth,derived_from,primary,text-generation,7615616512,en;multilingual,recognized_identifier,education;mathematics;software-engineering;multilingual-nlp;information-retrieval,trained_on,"Instruction / Chat** | `openhermes_2_5`, `slim_orca`, `openorca_full`, `ultrachat_200k`, `smoltalk_1m`, `lmsys_chat_1m`, `tulu3_sft_mixture`, `oasst1_top_ranked","Anis is an 8B parameter language model fine‑tuned from Qwen2.5‑7B using supervised fine‑tuning on a curated 57.9 GB dataset of instruction, preference, math, code, and multilingual subsets, serving as the first stage in ATTLAB’s open‑source RLHF alignment pipeline.",,,,,
Atomic-Germ/Phi4-mini-Instruct-NPU2,https://huggingface.co/Atomic-Germ/Phi4-mini-Instruct-NPU2,text_generation_chat,fastflowlm--phi4-mini-instruct-npu2,exact_duplicate_of,variant,text-generation,,multilingual;ar;zh;cs;da;nl;en;fi;fr;de;he;hu;it;ja;ko;no;pl;pt;ru;es;sv;th;tr;uk,recognized_identifier,mathematics;software-engineering;education;multilingual-nlp;safety-and-moderation;social-science;physics;chemistry,trained_on,"publicly available documents filtered for quality, selected high-quality educational data, and code","Phi-4-mini-instruct is a lightweight open model built upon synthetic data and filtered publicly available websites - with a focus on high‑quality, reasoning dense data.",,,,,
BSC-LT/salamandra-2b,https://huggingface.co/BSC-LT/salamandra-2b,text_generation_chat,bsc-lt--salamandra-2b,canonical,primary,text-generation,2253490176,bg;ca;code;cs;cy;da;de;el;en;es;et;eu;fi;fr;ga;gl;hr;hu;it;lt;lv;mt;nl;nn;\no;oc;pl;pt;ro;ru;sh;sk;sl;sr;sv;uk;programming languages,recognized_identifier,multilingual-nlp;software-engineering,trained_on,The pre-training corpus contains text in 35 European languages and code.,"Transformer-based decoder-only language model pre‑trained from scratch on 12.875 trillion tokens of highly curated data, covering 35 European languages and code.",,,,,
BSC-LT/salamandra-2b-instruct,https://huggingface.co/BSC-LT/salamandra-2b-instruct,text_generation_chat,bsc-lt--salamandra-2b,derived_from,primary,text-generation,2253490176,bg;ca;code;cs;cy;da;de;el;en;es;et;eu;fi;fr;ga;gl;hr;hu;it;lt;lv;mt;nl;nn;\no;oc;pl;pt;ro;ru;sh;sk;sl;sr;sv;uk,recognized_identifier,multilingual-nlp,trained_on,The pre-training corpus contains text in 35 European languages and code.,"Salamandra 2B is a 2.25 B‑parameter multilingual instruction‑tuned language model trained on 12.875 trillion tokens from 35 European languages and code, supporting conversational chat, translation, summarization, code generation, and a wide range of NLP tasks.",,,,,
BSC-LT/salamandra-7b,https://huggingface.co/BSC-LT/salamandra-7b,text_generation_chat,bsc-lt--salamandra-7b,derived_from,primary,text-generation,7768117248,bg;ca;code;cs;cy;da;de;el;en;es;et;eu;fi;fr;ga;gl;hr;hu;it;lt;lv;mt;nl;nn;\no;oc;pl;pt;ro;ru;sh;sk;sl;sr;sv;uk,recognized_identifier,multilingual-nlp;software-engineering,trained_on,The pre-training corpus contains text in 35 European languages and code.,Transformer-based decoder-only language model that has been pre‑trained from scratch on 12.875 trillion tokens of highly curated data. The pre‑training corpus contains text in 35 European languages and code.,,,,,
Banjiloma/phi-3.5-mini-instruct-pump1_0.0,https://huggingface.co/Banjiloma/phi-3.5-mini-instruct-pump1_0.0,text_generation_chat,gueuledange--unloteach,exact_duplicate_of,variant,text-generation,3821079552,multilingual;ar;zh;nl;fr;de;it;ru;es;uk,recognized_identifier,multilingual-nlp;education;software-engineering;mathematics,trained_on,"publicly available documents filtered rigorously for quality, selected high-quality educational data, and code","Phi-3.5-mini is a lightweight, state‑of‑the‑art open causal language model with 3.8 B parameters, 128K token context, trained on synthetic and filtered public data, fine‑tuned with instruction following and safety techniques.",,,,,
Basher17/Domyn-Small-v1.0-oQ4,https://huggingface.co/Basher17/Domyn-Small-v1.0-oQ4,text_generation_chat,domyn--domyn-small-v1-0,derived_from,primary,text-generation,1595547648,en;it;es;fr;de,declared_link,mathematics;software-engineering,trained_on,Domyn Small has been trained to call functions using `<tool_call>` XML tags.,"Domyn Small is a 10B-parameter open-weight reasoning model that supports dual-mode inference, multilingual text generation, and efficient tool calling, optimized for resource-constrained, agentic, and fine-tunable deployments.",,,,,
Basher17/Domyn-Small-v1.0-oQ6,https://huggingface.co/Basher17/Domyn-Small-v1.0-oQ6,text_generation_chat,domyn--domyn-small-v1-0,derived_from,primary,text-generation,2147622912,en;it;es;fr;de,declared_link,multilingual-nlp,trained_on,"Multilingual** — 50+ languages with explicit coverage; optimised for English and the Tier-A European set (Italian, Spanish, French, German)","Domyn Small is a 10B‑parameter open‑weight reasoning model designed for resource‑constrained, agentic, and fine‑tunable deployments.",,,,,
Basher17/Domyn-Small-v1.0-oQ8,https://huggingface.co/Basher17/Domyn-Small-v1.0-oQ8,text_generation_chat,domyn--domyn-small-v1-0,derived_from,primary,text-generation,2761039872,en;it;es;fr;de,declared_link,mathematics;software-engineering;multilingual-nlp;education,evaluated_on,Reasoning | MATH-500 | **93.2,"Domyn Small is a 10B‑parameter open‑weight reasoning model designed for resource‑constrained, agentic, and fine‑tunable deployments, offering token‑efficient reasoning, dual‑mode inference, tool calling, expandable context, and multilingual support.",,,,,
Bateesa/tiny-aya-global-lora-qa,https://huggingface.co/Bateesa/tiny-aya-global-lora-qa,text_generation_chat,coherelabs--tiny-aya-base,derived_from,primary,text-generation,,en;lug;nyn;teo,recognized_identifier,multilingual-nlp;education,fine_tuned_on,fine-tuned for **question-and-answer tasks** across five languages spoken in Uganda and East Africa.,"A lightweight, multilingual Small Language Model (SLM) fine‑tuned for question‑and‑answer tasks across five languages spoken in Uganda and East Africa.",,,,,
Bllossom/llama-3.2-Korean-Bllossom-3B,https://huggingface.co/Bllossom/llama-3.2-Korean-Bllossom-3B,text_generation_chat,meta-llama--meta-llama-3-2-3b,derived_from,primary,text-generation,3212749824,en;ko,declared_text,multilingual-nlp,fine_tuned_on,한국어-영어로 강화모델입니다.,"Bllossom-3B is a bilingual Korean‑English Llama 3.2 3B model that has been fully fine‑tuned on 150 GB of curated Korean data and instruction‑tuned, preserving English performance.",,,,,
Burman-AI/mGPT-ru,https://huggingface.co/Burman-AI/mGPT-ru,text_generation_chat,ai-forever--mgpt,exact_duplicate_of,variant,text-generation,,ar;he;vi;id;jv;ms;tl;lv;lt;eu;ml;ta;te;hy;bn;mr;hi;ur;af;da;en;de;sv;fr;it;pt;ro;es;el;os;tg;fa;ja;ka;ko;th;bxr;xal;mn;sw;yo;be;bg;ru;uk;pl;my;uz;ba;kk;ky;tt;az;cv;tr;tk;tyv;sax;et;fi;hu,recognized_identifier,multilingual-nlp,trained_on,trained on 61 languages from 25 language families,Multilingual GPT-like autoregressive model with 1.3 B parameters trained on 61 languages from 25 language families using Wikipedia and the Colossal Clean Crawled Corpus.,,,,,
Chunjiang-Intelligence/DeepSeek-v4-Fable,https://huggingface.co/Chunjiang-Intelligence/DeepSeek-v4-Fable,text_generation_chat,deepseek-ai--deepseek-v4-flash,derived_from,primary,text-generation,149210695634,en;zh;ja;fr,recognized_identifier,cybersecurity,trained_on,"The model was fine-tuned on SecDojo-80K, a proprietary corpus comprising 80,000 verified Capture The Flag (CTF) trajectories.","DeepSeek‑V4‑Fable is a distilled, autonomous agent model specialized for offensive security research, trained on CTF trajectories and fine‑tuned with reinforcement learning for tool‑oriented tasks in controlled environments.",,,,,
CohereLabs/c4ai-command-a-03-2025,https://huggingface.co/CohereLabs/c4ai-command-a-03-2025,text_generation_chat,coherelabs--c4ai-command-a-03-2025,derived_from,primary,text-generation,111057580032,en;fr;de;es;it;pt;ja;ko;zh;ar;el;fa;pl;id;cs;he;hi;nl;ro;ru;tr;uk;vi,recognized_identifier,multilingual-nlp;information-retrieval;document-understanding;safety-and-moderation,trained_on,"The model has been trained on 23 languages: English, French, Spanish, Italian, German, Portuguese, Japanese, Korean, Arabic, Chinese, Russian, Polish, Turkish, Vietnamese, Dutch, Czech, Indonesian, Ukrainian, Romanian, Greek, Hindi, Hebrew, and Persian.","Cohere Labs Command A is an open weights research release of a 111 billion parameter model optimized for demanding enterprises that require fast, secure, and high‑quality AI.",,,,,
AGmind/strizh-ru-retriever,https://huggingface.co/AGmind/strizh-ru-retriever,embedding_retrieval,deepvk--rumodernbert-small,derived_from,primary,sentence-similarity,24358272,ru;en,recognized_identifier,information-retrieval;multilingual-nlp,trained_on,contrastive training used 256-token sequences,"A tiny (24.4M), no-prefix dense retriever for Russian.",,,,,
Alibaba-NLP/gme-Qwen2-VL-7B-Instruct,https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-7B-Instruct,embedding_retrieval,qwen--qwen2-vl-7b,derived_from,primary,sentence-similarity,8291375616,en;zh,recognized_identifier,document-understanding;multilingual-nlp,trained_on,"English-only Training**: Our models are trained on english data only. Although the `Qwen2-VL` models are multilingual, the multilingual-multimodal embedding performance are not guaranteed.","Unified multimodal embedding model based on Qwen2‑VL that supports text, image, and image‑text inputs, delivering state‑of‑the‑art retrieval performance on the Universal Multimodal Retrieval Benchmark (UMRB) and the Multimodal Textual Evaluation Benchmark (MTEB).",,,,,
Antix5/product-reranker-mmBERT-small,https://huggingface.co/Antix5/product-reranker-mmBERT-small,embedding_retrieval,jhu-clsp--mmbert-small,derived_from,primary,text-ranking,140641921,multilingual;fr;de;zh;ru;pl;es;it;ja;ar;hi;pt;nl,recognized_identifier,multilingual-nlp;information-retrieval,trained_on,"Languages:** multilingual, fr, de, zh, ru, pl, es, it, ja, ar, hi, pt, nl",Cross Encoder model finetuned from jhu-clsp/mmBERT-small on the product_similarity_dataset for text reranking and semantic search across multiple languages.,,,,,
CISCai/jina-embeddings-v3-separation-distilled,https://huggingface.co/CISCai/jina-embeddings-v3-separation-distilled,embedding_retrieval,jinaai--jina-embeddings-v3,derived_from,primary,feature-extraction,64000512,multilingual;af;am;ar;as;az;be;bg;bn;br;bs;ca;cs;cy;da;de;el;en;eo;es;et;eu;fa;fi;fr;fy;ga;gd;gl;gu;ha;he;hi;hr;hu;hy;id;is;it;ja;jv;ka;kk;km;kn;ko;ku;ky;la;lo;lt;lv;mg;mk;ml;mn;mr;ms;my;ne;nl;no;om;or;pa;pl;ps;pt;ro;ru;sa;sd;si;sk;sl;so;sq;sr;su;sv;sw;ta;te;th;tl;tr;ug;uk;ur;uz;vi;xh;yi;zh,recognized_identifier,,intended_for,"During inference, we simply take the mean of all token embeddings occurring in a sentence.","A distilled, static embedding model based on Jina Embeddings v3, optimized for fast inference across many languages.",,,,,
FronyAI/frony-embed-arctic-ko-0.6B-v2.5,https://huggingface.co/FronyAI/frony-embed-arctic-ko-0.6B-v2.5,embedding_retrieval,snowflake--snowflake-arctic-embed-l-v2-0,derived_from,primary,sentence-similarity,567756800,ko;en,recognized_identifier,multilingual-nlp;information-retrieval,trained_on,It handles Korean↔English cross-lingual retrieval,"Korean-first text embedding model for retrieval, supporting cross‑lingual (Korean↔English) retrieval and Markdown‑formatted passages, built on Snowflake’s Arctic embed base.",,,,,
KIEFERSA/Sophea-Nemo-Reranker,https://huggingface.co/KIEFERSA/Sophea-Nemo-Reranker,embedding_retrieval,nvidia--llama-nemotron-rerank-1b-v2,derived_from,primary,text-ranking,1235816448,el;en,declared_text,information-retrieval;multilingual-nlp,trained_on,"Training:** BCE on labeled (query, doc) pairs, 1 epoch, max-len 4096, bf16",Greek + English cross‑encoder reranker fine‑tuned from NVIDIA Llama‑Nemotron‑Rerank‑1B‑v2 for Greek and English reranking.,,,,,
McGill-NLP/AfriE5-Large-instruct,https://huggingface.co/McGill-NLP/AfriE5-Large-instruct,embedding_retrieval,intfloat--multilingual-e5-large-instruct,derived_from,primary,feature-extraction,559890432,en;am;om;ig;yo;ha;sw;rw;xh;zu,recognized_identifier,multilingual-nlp,trained_on,AfriE5-Large-instruct** is a text embedding model adapted from [multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct) to better support African languages.,"AfriE5‑Large‑instruct is a text‑embedding model adapted from multilingual‑e5‑large‑instruct to better support African languages. It is trained with cross‑lingual contrastive learning and knowledge distillation, and evaluated on the AfriMTEB benchmark for African languages.",,,,,
Metric-AI/armenian-text-embeddings-2-large,https://huggingface.co/Metric-AI/armenian-text-embeddings-2-large,embedding_retrieval,intfloat--multilingual-e5-large,derived_from,primary,feature-extraction,559890432,en;hy,recognized_identifier,information-retrieval;multilingual-nlp;document-understanding,intended_for,Information retrieval,"Armenian-Text-Embeddings-2-large is a transformer-based text embeddings model fine-tuned on Armenian language data, built on multilingual-e5-large, providing dense vector embeddings for semantic similarity, classification, and retrieval tasks.",,,,,
NbAiLab/nb-sbert-v2-large,https://huggingface.co/NbAiLab/nb-sbert-v2-large,embedding_retrieval,nbailab--nb-bert-large,derived_from,primary,sentence-similarity,355087360,no;en,recognized_identifier,multilingual-nlp;information-retrieval,trained_on,Language:** Norwegian and English,"A Norwegian‑English sentence transformer based on NbAiLab/nb‑bert‑large, producing 1024‑dimensional embeddings for semantic similarity, search, paraphrase mining, classification, clustering, and retrieval.",,,,,
Nurlykhan/kazembed-v5,https://huggingface.co/Nurlykhan/kazembed-v5,embedding_retrieval,intfloat--multilingual-e5-base,derived_from,primary,sentence-similarity,278043648,kk;ru;en,recognized_identifier,information-retrieval,intended_for,RAG-optimized**: Trained specifically for retrieval tasks,KazEmbed‑V5 is a fine‑tuned version of multilingual‑e5‑base optimized for Kazakh language retrieval and RAG applications.,,,,,
Raras-AI/araras-hpo-brasil,https://huggingface.co/Raras-AI/araras-hpo-brasil,embedding_retrieval,fremycompany--biolord-2023,derived_from,primary,sentence-similarity,109486464,pt;en,recognized_identifier,,intended_for,Encoder bilíngue de estado-da-arte para entity linking sobre a Human Phenotype Ontology (HPO),"A bilingual, state‑of‑the‑art encoder for entity linking on the Human Phenotype Ontology (HPO), natively covering clinical and colloquial Brazilian Portuguese as well as English.",,,,,
TianmuLab/Tianmu-Emb-Uni,https://huggingface.co/TianmuLab/Tianmu-Emb-Uni,embedding_retrieval,qwen--qwen2-5-omni-7b,derived_from,primary,feature-extraction,8964318448,zh;en,recognized_identifier,information-retrieval;speech-and-audio;document-understanding,intended_for,retrieval and representation tasks,Tianmu-Emb-Uni-8B is a unified multimodal embedding model for general-purpose retrieval and representation learning.,,,,,
Trendyol/TY-ecomm-embed-multilingual-base-v1.2.0,https://huggingface.co/Trendyol/TY-ecomm-embed-multilingual-base-v1.2.0,embedding_retrieval,alibaba-nlp--gte-multilingual-base,derived_from,primary,sentence-similarity,305368320,tr;ar;en;de;bg;hu;ro;sk;pl;cs;el,recognized_identifier,multilingual-nlp;information-retrieval,fine_tuned_on,Trendyol/TY-ecomm-embed-multilingual-base-v1.2.0 is a multilingual [sentence-transformers](https://www.SBERT.net) embedding model fine-tuned on e-commerce datasets,"Trendyol/TY-ecomm-embed-multilingual-base-v1.2.0 is a multilingual sentence-transformers embedding model fine-tuned on e-commerce datasets, optimized for semantic similarity, search, classification, and retrieval tasks.",,,,,
VAGOsolutions/SauerkrautLM-ColLFM2-450M-v0.1,https://huggingface.co/VAGOsolutions/SauerkrautLM-ColLFM2-450M-v0.1,embedding_retrieval,liquidai--lfm2-vl-450m,derived_from,primary,image-text-to-text,450953856,en;de;fr;es;it;pt,declared_link,document-understanding;information-retrieval;multilingual-nlp,intended_for,visual document retrieval,"SauerkrautLM‑ColLFM2‑450M‑v0.1 is a 450 M‑parameter, 128‑dimensional visual document retrieval model that supports six languages (EN, DE, FR, ES, IT, PT). It is trained with curriculum learning and hierarchical merging, achieving top performance on ViDoRe and MTEB benchmarks while remaining highly efficient for edge and mobile deployments.",,,,,
Xenova/jina-embeddings-v2-base-zh,https://huggingface.co/Xenova/jina-embeddings-v2-base-zh,embedding_retrieval,jinaai--jina-embeddings-v2-base-zh,derived_from,primary,feature-extraction,160813824,zh;en,recognized_identifier,,intended_for,"You can then use the model to compute embeddings, as follows:",https://huggingface.co/jinaai/jina-embeddings-v2-base-zh with ONNX weights to be compatible with Transformers.js.,,,,,
algolia/algolia-large-multilang-generic-v2410,https://huggingface.co/algolia/algolia-large-multilang-generic-v2410,embedding_retrieval,ordalietech--solon-embeddings-large-0-1,derived_from,primary,sentence-similarity,559890432,en;fr;de;es;ru,recognized_identifier,information-retrieval;multilingual-nlp,intended_for,built for retrieval performance and efficiency in e-commerce search.,Algolia-large-multilang-generic-v2410 is the first addition to Algolia's suite of multilingual embedding models built for retrieval performance and efficiency in e-commerce search.,,,,,
alikia2x/jina-embedding-v3-m2v-1024,https://huggingface.co/alikia2x/jina-embedding-v3-m2v-1024,embedding_retrieval,jinaai--jina-embeddings-v3,derived_from,primary,,256002048,multilingual;af;am;ar;as;az;be;bg;bn;br;bs;ca;cs;cy;da;de;el;en;eo;es;et;eu;fa;fi;fr;fy;ga;gd;gl;gu;ha;he;hi;hr;hu;hy;id;is;it;ja;jv;ka;kk;km;kn;ko;ku;ky;la;lo;lt;lv;mg;mk;ml;mn;mr;ms;my;ne;nl;no;om;or;pa;pl;ps;pt;ro;ru;sa;sd;si;sk;sl;so;sq;sr;su;sv;sw;ta;te;th;tl;tr;ug;uk;ur;uz;vi;xh;yi;zh,recognized_identifier,,intended_for,"model = SentenceTransformer(""alikia2x/jina-embedding-v3-m2v-1024"")","This Model2Vec model is a distilled version of the jinaai/jina-embeddings-v3 Sentence Transformer. It uses static embeddings, allowing text embeddings to be computed orders of magnitude faster on both GPU and CPU. It is designed for applications where computational resources are limited or where real-time performance is critical.",,,,,
amgix/static-retrieval-multilingual-69m-v1,https://huggingface.co/amgix/static-retrieval-multilingual-69m-v1,embedding_retrieval,ibm-granite--granite-embedding-97m-multilingual-r2,derived_from,primary,feature-extraction,69095424,af;am;ar;az;be;bg;bg-latn;bn;ca;ceb;co;cs;cy;da;de;el;el-latn;en;eo;es;et;eu;fa;fi;fil;fr;fy;ga;gd;gl;gu;ha;haw;hi;hi-latn;hmn;ht;hu;hy;id;ig;is;it;iw;ja;ja-latn;jv;ka;kk;km;kn;ko;ku;ky;la;lb;lo;lt;lv;mg;mi;mk;ml;mn;mr;ms;mt;my;ne;nl;no;ny;pa;pl;ps;pt;ro;ru;ru-latn;sd;si;sk;sl;sm;sn;so;sq;sr;st;su;sv;sw;ta;te;tg;th;tr;uk;ur;uz;vi;xh;yi;yo;zh;zh-latn;zu,recognized_identifier,information-retrieval;multilingual-nlp,trained_on,trained for multilingual retrieval tasks,"A distilled static multilingual retrieval model based on IBM Granite, providing fast sentence embeddings for real‑time retrieval across 101 languages.",,,,,
aqweteddy/AuroraX-Reranker-Base-v1.0,https://huggingface.co/aqweteddy/AuroraX-Reranker-Base-v1.0,embedding_retrieval,jhu-clsp--mmbert-base,derived_from,primary,text-ranking,307531009,en;zh;traditional chinese;simplified chinese,recognized_identifier,multilingual-nlp;information-retrieval,trained_on,Bridging English and Chinese,"AuroraX is a lightweight yet powerful cross‑lingual reranker built upon the mmBERT‑base architecture, designed to bridge Traditional Chinese, Simplified Chinese and English for high‑quality semantic ranking across languages with remarkable efficiency.",,,,,
avemio/German-RAG-BGE-M3-MERGED-x-SNOWFLAKE-ARCTIC-HESSIAN-AI,https://huggingface.co/avemio/German-RAG-BGE-M3-MERGED-x-SNOWFLAKE-ARCTIC-HESSIAN-AI,embedding_retrieval,snowflake--snowflake-arctic-embed-l-v2-0,derived_from,primary,sentence-similarity,567754752,de;en,recognized_identifier,,,,"This is a merged sentence-transformers model. It maps sentences & paragraphs to a 1024‑dimensional dense vector space and can be used for semantic textual similarity, semantic search, paraphrase mining, text classification, clustering, and more.",,,,,
cnmoro/static-nomic-384-pten,https://huggingface.co/cnmoro/static-nomic-384-pten,embedding_retrieval,nomic-ai--nomic-embed-text-v2-moe-unsupervised,derived_from,primary,feature-extraction,12840428,en;pt,recognized_identifier,,intended_for,Compute text embeddings,"A distilled static embedding model based on nomic-embed-text-v2-moe, producing 384‑dimensional embeddings for text, suitable for feature extraction tasks.",,,,,
contextboxai/halong_embedding,https://huggingface.co/contextboxai/halong_embedding,embedding_retrieval,intfloat--multilingual-e5-base,derived_from,primary,sentence-similarity,278043648,vi;en,recognized_identifier,multilingual-nlp,intended_for,"Language:** vi-focused, multilingual",Halong Embedding is a Vietnamese text embedding focused on RAG and production efficiency.,,,,,
cross-encoder/msmarco-MiniLM-L12-en-de-v1,https://huggingface.co/cross-encoder/msmarco-MiniLM-L12-en-de-v1,embedding_retrieval,microsoft--multilingual-minilm-l12-h384,derived_from,primary,text-ranking,117654657,en;de,recognized_identifier,information-retrieval;multilingual-nlp,trained_on,This is a cross-lingual Cross-Encoder model for EN-DE that can be used for passage re-ranking.,Cross‑lingual Cross‑Encoder model for EN‑DE passage re‑ranking.,,,,,
